"index","Normalised_ASHP_heat","Normalised_ASHP_elec","Normalised_GSHP_heat","Normalised_GSHP_elec","Normalised_Resistance_heater_heat","Normalised_Resistance_heater_elec","Normalised_Gas_boiler_heat","Normalised_Gas_boiler_gas","UK_daily_average_OAT_[degrees_C]"
"2013-12-23T09:30:00",9.795226806029053e-05,3.65302299801588e-05,9.528460249200447e-05,3.459776000629108e-05,5.892550412526632e-05,5.892550412526632e-05,7.374302818633895e-05,8.778932295320865e-05,7.8
"2013-12-23T10:00:00",9.154148528581153e-05,3.5235652666954286e-05,9.238364906622752e-05,3.3627300842545024e-05,5.892550412526632e-05,5.892550412526632e-05,6.5898529029651e-05,7.845062590353523e-05,7.8
"2013-12-23T10:30:00",9.064558913710397e-05,3.5081662539240076e-05,9.066222707855466e-05,3.353184074089255e-05,5.8730073004670196e-05,5.8730073004670196e-05,6.5898529029651e-05,7.845062590353523e-05,7.8
"2013-12-23T11:00:00",9.073180010989199e-05,3.5081662539240076e-05,8.869741837359488e-05,3.3191605678414704e-05,5.8730073004670196e-05,5.8730073004670196e-05,6.547493641183443e-05,7.794635567639121e-05,7.8
"2013-12-23T11:30:00",8.876379529764219e-05,3.4640285018056926e-05,8.571414944934183e-05,3.227185412059057e-05,5.8504432725563655e-05,5.8504432725563655e-05,6.547493641183443e-05,7.794635567639121e-05,7.8
"2013-12-23T12:00:00",8.867457005298984e-05,3.409202323491877e-05,8.370149704641476e-05,3.189764730502456e-05,5.814132136779989e-05,5.814132136779989e-05,6.547493641183443e-05,7.794635567639121e-05,7.8
"2013-12-23T12:30:00",8.846378083259307e-05,3.408263772948504e-05,8.245681257655167e-05,3.1436323836377183e-05,5.8055946138603023e-05,5.8055946138603023e-05,6.547493641183443e-05,7.794635567639121e-05,7.8
"2013-12-23T13:00:00",8.784516272705307e-05,3.3370038683543863e-05,8.148354545421273e-05,3.112285005299185e-05,5.8055946138603023e-05,5.8055946138603023e-05,6.5898529029651e-05,7.845062590353523e-05,7.8
"2013-12-23T13:30:00",8.784516272705307e-05,3.336170572547808e-05,8.148354545421273e-05,3.112285005299185e-05,5.8055946138603023e-05,5.8055946138603023e-05,6.5898529029651e-05,7.845062590353523e-05,7.8
"2013-12-23T14:00:00",9.350167816842686e-05,3.525699385162717e-05,8.173770941730693e-05,3.111969940455825e-05,5.8055946138603023e-05,5.8055946138603023e-05,7.16802801236341e-05,8.533367094265554e-05,7.8
"2013-12-23T14:30:00",9.361748635358114e-05,3.525699385162717e-05,8.257313829330214e-05,3.135073879707375e-05,5.8055946138603023e-05,5.8055946138603023e-05,7.454576165406095e-05,8.874495794684484e-05,7.8
"2013-12-23T15:00:00",0.00010048422145797942,3.704843296869625e-05,8.96672306228457e-05,3.3151507470214805e-05,6.6527819475945e-05,6.6527819475945e-05,0.00010811081883165802,0.00012870335501266003,7.8
"2013-12-23T15:30:00",0.00010048422145797942,3.704843296869625e-05,8.974439878004071e-05,3.3151507470214805e-05,6.6527819475945e-05,6.6527819475945e-05,0.00011407043294664744,0.0001357981378760047,7.8
"2013-12-23T16:00:00",0.00010844453579349187,4.083928896780319e-05,9.624661679896123e-05,3.483852060041082e-05,7.891183304132957e-05,7.891183304132957e-05,0.000154400236535841,0.00018380980773091013,7.8
"2013-12-23T16:30:00",0.00010870953295175511,4.083928896780319e-05,9.963460242511012e-05,3.536198982262308e-05,7.981722659419436e-05,7.981722659419436e-05,0.000154400236535841,0.00018380980773091013,7.8
"2013-12-23T17:00:00",0.0001097193629819983,4.160663446421769e-05,0.00010152112398563986,3.6342481406298104e-05,8.407001451125771e-05,8.407001451125771e-05,0.00015934512505143402,0.00018969657068048702,7.8
"2013-12-23T17:30:00",0.00010817238411059474,4.036414600680333e-05,0.00010232006688410322,3.66449331654185e-05,8.432755641706763e-05,8.432755641706763e-05,0.00015934512505143402,0.00018969657068048702,7.8
"2013-12-23T18:00:00",0.00010501926691140618,3.959484228272754e-05,0.0001020001484336112,3.645417731336369e-05,8.432755641706763e-05,8.432755641706763e-05,0.00015713203406003413,0.00018706195011332748,7.8
"2013-12-23T18:30:00",0.00010388042464663548,3.9090374862499955e-05,0.00010236230165855498,3.654965489919171e-05,8.432755641706763e-05,8.432755641706763e-05,0.00015713203406003413,0.00018706195011332748,7.8
"2013-12-23T19:00:00",0.00010242400681089608,3.94384288482825e-05,0.00010085355018856776,3.563008517679327e-05,8.030648977536612e-05,8.030648977536612e-05,0.0001446517875924379,0.00017220450870630122,7.8
"2013-12-23T19:30:00",0.00010247787205892182,3.94384288482825e-05,0.00010062761967214714,3.563008517679327e-05,8.030648977536612e-05,8.030648977536612e-05,0.0001446517875924379,0.00017220450870630122,7.8
"2013-12-23T20:00:00",0.00010106261197242047,3.9107880019057785e-05,9.647778557437579e-05,3.5516130314246986e-05,7.51175571374856e-05,7.51175571374856e-05,0.0001150161729830049,0.00013692401603998804,7.8
"2013-12-23T20:30:00",0.00010106261197242047,3.9107880019057785e-05,9.647778557437579e-05,3.5516130314246986e-05,7.51175571374856e-05,7.51175571374856e-05,0.00011217930955111369,0.00013354680086619155,7.8
"2013-12-23T21:00:00",9.395411268222605e-05,3.6268019799477784e-05,9.015478734848405e-05,3.3809321600496465e-05,7.098510231020813e-05,7.098510231020813e-05,7.236906572248003e-05,8.615365205278221e-05,7.8
